OBJECTID,country,project_id,project_name,group_id,group_name,project_status,species,grant_reference,hectares,phase,globalid
522,Scotland,104000000014522,Middleton,103000000006746,Forest Carbon Group 7,Validated,Existing woodland,17FGS19020-001,9.66724556,6,ad451d6a-7cc8-4d3c-8935-78c207a1a0c9
523,Scotland,104000000026344,Scalpay 2,103000000017153,Forest Carbon Group 8,Validated,Broadleaved (>80%),17FGS18097-001,8.99046825,6,e027b5d3-c18e-4f14-8ef9-9414ac166f00
524,Scotland,104000000026344,Scalpay 2,103000000017153,Forest Carbon Group 8,Validated,Broadleaved (>80%),17FGS18097-001,43.05230629,6,bcbfd4c5-831c-4183-a7b6-4516bcf92e7c
525,Scotland,104000000026525,Talla & Gameshope 2,103000000017169,Forest Carbon Group 9,Validated,Broadleaved (>80%),18FGS28678,45.17466943,6,fc78a657-880e-4f19-bc0e-9bde501d8dab
526,Scotland,104000000013495,Ballygowan,n/a,n/a,Validated,Existing woodland,17FGS18417,0.17785154,6,661aaf51-8ed1-4ab6-b6ec-72829bc136fb
527,Scotland,104000000013495,Ballygowan,n/a,n/a,Validated,Open ground,17FGS18417,16.3080283,6,5c59964f-d5ba-45ff-96d3-5b73f3a8d1d5
528,Scotland,104000000014114,Glenferness Aitnoch Hill,n/a,n/a,Verified,Open ground,16FGS5934-001,113.43925493,6,14dd0690-d068-44f0-9fa9-6ce46bf85e00
529,Scotland,104000000026933,Brawliemuir,n/a,n/a,Validated,Conifer (>80%),20FGS48003-001,110.40097967,6,b26ef21c-7724-46b3-a04f-b4a8a54384ac
530,Scotland,104000000026933,Brawliemuir,n/a,n/a,Validated,Broadleaved (>80%),20FGS48003-001,8.25457895,6,2e17320a-87a3-4fea-b53d-309ee6a40c8c
531,Scotland,104000000016041,Ledbeg,n/a,n/a,Validated,Open ground,18FGS31038,215.37456065,6,e53acfe8-d303-4ff8-843d-f2d6b303b309
532,Scotland,104000000026206,Talla & Gameshope 1,n/a,n/a,Validated,Open ground,PBL5238,7.53831986,6,87d0a3fb-7526-4dcb-a153-87d20ec31824
533,Scotland,104000000026532,Feoch,n/a,n/a,Validated,Open ground,16FGS13177-002A,2.88681477,6,fb6c1472-86c7-40d1-8cb8-187179dd7030
534,Scotland,104000000026964,Accurrach,n/a,n/a,Validated,Conifer (>80%),17FGS24478-004,11.1805337,6,725379b5-7ea3-49fc-93f8-8a1cffb610a7
535,Scotland,104000000026964,Accurrach,n/a,n/a,Validated,Broadleaved (>80%),17FGS24478-004,22.48839913,6,1b1253f5-a726-4ae7-a9af-9d6449f3edd7
536,Scotland,104000000026964,Accurrach,n/a,n/a,Validated,Open ground,17FGS24478-004,11.84410662,6,cc75f9f9-939b-4f9c-915f-9680fe989dc4
537,Wales,104000000026428,Pantpoeth GWC,103000000017155,ABCOLTD 18-20,Validated,Open ground,7464411,1.14151921,6,01be24c5-23ae-4d13-b869-7dba6517eb8e
538,Wales,104000000026428,Pantpoeth GWC,103000000017155,ABCOLTD 18-20,Validated,Broadleaved (>80%),7464411,3.63342378,6,d9c52854-cc90-48e1-9554-ae8796a0f9b1
539,Wales,104000000026428,Pantpoeth GWC,103000000017155,ABCOLTD 18-20,Validated,Conifer (>80%),7464411,9.89857475,6,99c22751-9754-4e71-bba0-45d75a73bcaf
540,Wales,104000000026426,Llanover GWC,103000000017155,ABCOLTD 18-20,Validated,Open ground,7464892,7.93607968,6,bb468f9f-e505-4018-8e18-9330d8e7199c
541,Wales,104000000026426,Llanover GWC,103000000017155,ABCOLTD 18-20,Validated,Broadleaved (>80%),7464892,9.09391496,6,454218b9-3bab-4e22-8947-b2f17a5cb059
542,Wales,104000000026426,Llanover GWC,103000000017155,ABCOLTD 18-20,Validated,Conifer (>80%),7464892,27.7838703,6,4482e604-2f69-440c-8cf5-88fe55e6c446
543,Wales,104000000026426,Llanover GWC,103000000017155,ABCOLTD 18-20,Validated,Existing woodland,7464892,0.49368552,6,078b1bc1-e2c2-42c6-aa5a-a8cedee4976a
544,Scotland,104000000026817,Lick Estate,n/a,n/a,Validated,Existing woodland,18FGS29518,22.94184031,6,060fcaec-868b-4711-b8c9-42d48038ec88
545,Scotland,104000000026817,Lick Estate,n/a,n/a,Validated,Open ground,18FGS29518,14.70275364,6,630c0136-eb27-44a3-9e36-c29d7d61a1e1
