OBJECTID,country,project_id,project_name,group_id,group_name,project_status,species,grant_reference,hectares,phase,globalid
1,England,104000000014115,Emilie's Wood,n/a,n/a,Validated,Broadleaved (>80%),CS 464281,7.63284887,5,63c5e319-80d1-459a-accf-4d6f7bcc7624
2,Scotland,104000000014502,Kinpurney Farm,n/a,n/a,Verified,Mixed predominantly conifer (50-80%),4888192,38.8455762,5,bb0d9d81-3ff3-49f6-8dab-17ba8be2fb53
3,Scotland,103000000004605,Drumbow,103000000000757,Scottish Forest Alliance,Validated,Open ground,No Grant,54.15271674,5,b8fadab6-b867-452d-80b5-3ac0b1888d2f
4,Scotland,103000000004605,Drumbow,103000000000757,Scottish Forest Alliance,Validated,Mixed predominantly conifer (50-80%),No Grant,37.95906636,5,2c296621-3797-4644-9432-bf8e67b70d97
5,Scotland,103000000004607,Crossrigg,103000000000757,Scottish Forest Alliance,Validated,Existing woodland,No Grant,10.10471144,5,6c3e5a66-c15c-4322-95c4-a5ca739ea116
6,Scotland,103000000004607,Crossrigg,103000000000757,Scottish Forest Alliance,Validated,Open ground,No Grant,16.27905135,5,cd893ba4-ef2d-4abe-8a51-fba40c1d54fa
7,Scotland,103000000004607,Crossrigg,103000000000757,Scottish Forest Alliance,Validated,Mixed predominantly conifer (50-80%),No Grant,29.398722,5,2c099bc3-009d-4faa-88ac-e7d1046a762f
8,England,104000000012690,Bridge End Farm,"103000000006046
",2017-2020,Validated,Mixed predominantly broadleaved (50-80%),37947,12.42689217,5,573f50a6-c2ef-42e5-9101-3dc98267e791
9,Wales,104000000013201,Penygaer,"103000000017144
",2020 HWF Group,Validated,Broadleaved (>80%),104-13201-GWC,9.60417577,5,fdae89c5-c00c-496d-b495-6ebad4ca2185
10,Wales,104000000013210,Pantyrhyn,103000000017144,2020 HWF Group,Validated,Broadleaved (>80%),104-13210-GWC,2.51261538,5,06bd93cd-d353-4dd3-8b72-5d38558bda25
11,Wales,104000000013203,Rhydlanfair,103000000006745,GrwpCoed.Cymru1,Validated,Broadleaved (>80%),A0015738-GWC,1.81206634,5,1aa494bc-2b76-4a61-a1c1-c4173af60f96
12,Scotland,103000000004604,Inversnaid,103000000000757,Scottish Forest Alliance,Validated,Broadleaved (>80%),No Grant,120.77856123,5,caf75a6f-3a64-4b6c-9889-5fe433bd199f
13,Scotland,103000000004614,Glen Sherup,103000000000757,Scottish Forest Alliance,Validated,Broadleaved (>80%),No Grant,294.77970694,5,9c79d801-7ce8-4020-9b88-733b251038e5
14,Scotland,103000000004614,Glen Sherup,103000000000757,Scottish Forest Alliance,Validated,Open ground,No Grant,308.26811558,5,bc979aac-4a38-41bf-accd-f961e3a286d9
15,Wales,104000000013494,Pencefn Drysgol,103000000017148,SFM Group 1,Validated,Mixed predominantly broadleaved (50-80%),"GWC P0000138, P0000242, P0000264",32.24230489,5,2cf0cd59-4cfa-4a67-9c4a-a3ba1b53893c
16,England,104000000012695,Ormsgill Green,n/a,n/a,Validated,Broadleaved (>80%),EWGS 33460 & CS 37881,27.13247945,5,ddb273e9-22d8-486c-9f1a-a933ef301784
17,Scotland,104000000014894,Rig of Airie,n/a,n/a,Verified,Conifer (>80%),15FGS03174,207.29431474,5,1d89ec95-a234-44c7-aad3-a38409fc3a68
18,Scotland,104000000014894,Rig of Airie,n/a,n/a,Verified,Broadleaved (>80%),15FGS03174,41.69892346,5,740ab5d0-4398-41f4-bcfa-fbac928f42ce
19,Scotland,104000000014894,Rig of Airie,n/a,n/a,Verified,Open ground,15FGS03174,98.49606846,5,b837a083-f55a-4cc0-991b-31e64cbdf497
20,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance,Validated,Natural regeneration,No Grant,685.50865425,5,852c5d74-9df9-44f3-a2f5-4ed07688f831
21,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance,Validated,Natural regeneration,No Grant,581.1641262,5,6fd8bb68-7162-423e-bf70-061534e876d6
22,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance,Validated,Broadleaved (>80%),No Grant,450.10333743,5,bc8583a7-2234-4786-b116-8ddefdec5f64
23,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance,Validated,Natural regeneration,No Grant,143.04873104,5,0258af21-5700-45f4-8439-2bfb3b3226b6
24,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance,Validated,Existing woodland,No Grant,9.22068333,5,c12c9767-b9e2-4999-9be1-a295022fae26
25,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance,Validated,Existing woodland,No Grant,929.93456062,5,2575f693-b321-41ff-8104-ff438db8512b
26,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance,Validated,Open ground,No Grant,7902.95006596,5,dcc05a0a-cef5-4aa8-9ba7-8b04da6031cd
27,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance,Validated,Mixed predominantly conifer (50-80%),No Grant,163.21991404,5,c20d3b99-52c9-4664-82dc-6f58bd075ccc
28,Scotland,"103000000004599
",Kinloch Hills,103000000000757,Scottish Forest Alliance,Validated,Open ground,No Grant,1506.75802361,5,e25e2ecc-53ca-4125-aec5-8ba12967c37c
29,Scotland,103000000004599,Kinloch Hills,103000000000757,Scottish Forest Alliance,Validated,Existing woodland,No Grant,2603.81485368,5,995c4bb0-e036-4afb-87e1-89be84b3d111
30,Scotland,103000000004598,Glenmore,103000000000757,Scottish Forest Alliance,Validated,Open ground,No Grant,124.01958496,5,c2c125d7-5d78-4245-b75c-b1c78209f13d
31,Scotland,103000000004599,Kinloch Hills,103000000000757,Scottish Forest Alliance,Validated,Natural regeneration,No Grant,170.77301824,5,6e4bc06c-47da-4849-958f-001d61261125
32,Scotland,103000000004599,Kinloch Hills,103000000000757,Scottish Forest Alliance,Validated,Broadleaved (>80%),No Grant,423.00187386,5,13ab7305-6580-4425-8dec-95d63e21c9dd
33,Scotland,103000000004599,Kinloch Hills,103000000000757,Scottish Forest Alliance,Validated,Open ground,No Grant,23.45100892,5,7e7cb526-049f-42ac-9591-b9b8f03b9792
34,Scotland,103000000004598,Glenmore,103000000000757,Scottish Forest Alliance,Validated,Existing woodland,No Grant,1010.11587544,5,bddc9242-0f21-45be-a60b-89ac72848253
35,Scotland,103000000004611,Corrimony,103000000000757,Scottish Forest Alliance,Validated,Open ground,No Grant,1099.43457997,5,6e9504d2-20cc-4bbc-8b48-6a7bebdb918a
36,Scotland,103000000004611,Corrimony,103000000000757,Scottish Forest Alliance,Validated,Broadleaved (>80%),No Grant,205.91524454,5,aa1ecc11-79b8-46db-8516-18580b122d93
37,Scotland,103000000004611,Corrimony,103000000000757,Scottish Forest Alliance,Validated,Existing woodland,No Grant,405.92589704,5,8163b8d3-cc80-4c7b-9aea-7825552c97dd
38,Scotland,103000000004598,Glenmore,103000000000757,Scottish Forest Alliance,Validated,Natural regeneration,No Grant,309.27121389,5,c5f13e7a-66e7-4d10-af6d-fd7ba81a8f82
39,England,104000000015396,Hedley Hall East,n/a,n/a,Validated,Broadleaved (>80%),WCF 03 18/19,13.65312048,5,77962c5d-e000-4173-a85b-9d1f17713768
40,England,104000000014207,Great Thorndean,n/a,n/a,Validated,Broadleaved (>80%),WCPG 14 17_18,11.95632231,5,27980eb5-951b-46ef-b836-1c30f8f4bfd8
41,England,103000000009187,Howesyke,n/a,n/a,Validated,Broadleaved (>80%),EWGS 3097 /20940/ 23261 / CS 326513,60.75801234,5,2465f051-378d-4b3a-9485-69a1876c579d
42,England,104000000026252,Carol's Wood,103000000017149,Lonsdale Group 18/19,Validated,Broadleaved (>80%),CS 626867,7.47598039,5,54f434e8-6824-44c7-b7a4-1e0044d461af
43,England,104000000026253,Erin’s Wood,103000000017149,Lonsdale Group 18/19,Validated,Broadleaved (>80%),CS 680833,8.60590645,5,bb622311-0837-44c0-b7ea-2f99867acab5
44,England,104000000026251,Jon's Wood,103000000017149,Lonsdale Group 18/19,Validated,Broadleaved (>80%),WCF 01 Jons,10.39217865,5,a99ea719-c26e-4e75-b001-38b51652bc1a
45,England,104000000026355,Carol's Wood 2,103000000017157,Lonsdale Group 18/19,Validated,Broadleaved (>80%),CS626867,1.18705681,5,342e920f-ed47-46d1-9e05-60dd00301761
46,England,104000000015993,Smithills Phase 2,n/a,n/a,Validated,Broadleaved (>80%),HLF HG-14-03017,24.75053575,5,0fc10911-b404-49b3-bc17-19a50287f1b6
47,England,104000000026374,Helen's Wood,103000000017157,Lonsdale Group 20/21,Validated,Broadleaved (>80%),WCF 07 19_20,10.78445736,5,0c7113b0-d23a-4964-9a89-43d36a8f7600
48,England,104000000026372,Jack's Wood,103000000017154,Lonsdale Group 19/20,Validated,Broadleaved (>80%),CS 872589,10.28494785,6,0c9dd4a5-8af9-4397-895e-5215b9044c99
49,Scotland,104000000014515,Craigierig,103000000006746,Forest Carbon Group 7,Validated,Mixed predominantly conifer (50-80%),16FGS13737-001,9.11253201,5,f2a2c851-4f6d-4add-b8b5-8cf781f7ce7a
50,Scotland,104000000014512,Crookston,103000000006746,Forest Carbon Group 7,Validated,Broadleaved (>80%),16FGS06094,21.32133318,5,56c474c6-5b0b-4bde-b480-925624e89ad4
51,Scotland,104000000014510,Craigs Bailey,103000000006746,Forest Carbon Group 7,Validated,Broadleaved (>80%),37949,13.66493794,5,a524ff76-0353-4a4d-b3d4-2658512db10c
52,England,104000000026383,Caynton House Woodland,n/a,n/a,Under Development,Broadleaved (>80%),Unknown,8.50593115,5,385a0197-69a4-4b08-9dc4-7233e4b06c2d
53,Scotland,104000000026340,Balcorrach 2,103000000017153,Forest Carbon Group 8,Validated,Broadleaved (>80%),17FGS14262-001,37.20120433,5,2ac61bee-5b32-4a02-b3a5-2d04e36fdb5d
54,Scotland,104000000026343,Balmedie Farm,103000000017153,Forest Carbon Group 8,Validated,Mixed predominantly broadleaved (50-80%),18FGS31938- 002,7.67955918,5,fc5be634-f226-4ac8-807f-23d1e7426711
55,England,104000000026349,Blackwater & Hyde,103000000017153,Forest Carbon Group 8,Validated,Mixed predominantly conifer (50-80%),CS 635864,22.12125926,5,8ff958fb-427f-4787-9826-d8f1bb63df0b
56,England,104000000026347,Lanternside Farm,103000000017153,Forest Carbon Group 8,Validated,Broadleaved (>80%),464267 & 642160,8.54467185,5,7dcb1a31-07f4-4a07-ad5c-253ad564aad2
57,Scotland,104000000026345,Glendearg,103000000017153,Forest Carbon Group 8,Validated,Broadleaved (>80%),17FGS21617-001,48.039975,5,568446fb-e473-4a1c-beb3-605803f9e121
58,Scotland,104000000014517,Gannochy,103000000006746,Forest Carbon Group 7,Validated,Broadleaved (>80%),16FGS12337 & 16FGS10354,12.87328022,5,7d236430-55f3-4692-ba7f-d98b7b2ecc6c
59,Scotland,104000000014517,Gannochy,103000000006746,Forest Carbon Group 7,Validated,Broadleaved (>80%),16FGS12337 & 16FGS10354,0.7835645,5,9781e398-f3b9-436c-aee0-d08957b03c75
60,Scotland,104000000014523,Hillhead,103000000006746,Forest Carbon Group 7,Validated,Mixed predominantly conifer (50-80%),17FGS1737-001,5.11554052,5,d89c2f19-240d-4608-bc54-4d42dd62459d
61,Scotland,104000000014509,Keltie,103000000006746,Forest Carbon Group 7,Validated,Broadleaved (>80%),15FGS00653 &15FGS00653-001,17.86334449,5,a628549b-63ac-45cd-8a6f-6279571ac177
62,England,104000000014508,Lower Broombriggs,103000000006746,Forest Carbon Group 7,Validated,Broadleaved (>80%),2015/07,4.78540949,5,5231f135-0724-4e9a-885e-5472b321e556
63,Scotland,104000000014513,Morenish,103000000006746,Forest Carbon Group 7,Validated,Conifer (>80%),16FGS10755-001,94.66432741,5,91e0fd21-b0ac-4177-86e8-94272575084b
64,Scotland,104000000014516,Wester Deans,103000000006746,Forest Carbon Group 7,Validated,Broadleaved (>80%),16FGS12237-001,3.22466362,5,f3f3373b-e0d1-42a7-aea8-9e6a724374d7
65,England,104000000014207,Great Thorndean,n/a,n/a,Validated,Open ground,WCPG 14 17_18,23.87825931,5,3e60bca9-3083-4e34-90b9-41061682d8c2
66,Scotland,104000000014517,Gannochy,103000000006746,Forest Carbon Group 7,Validated,Open ground,16FGS12337 & 16FGS10354,1.00460637,5,75f50706-4a2d-43c7-af24-3761459a276c
67,Scotland,104000000026335,Addinston,103000000017153,Forest Carbon Group 8,Validated,Broadleaved (>80%),17FGS18177-001,5.44718538,5,601e3278-2f26-4795-95c6-d426c0dd334e
68,Scotland,104000000026335,Addinston,103000000017153,Forest Carbon Group 8,Validated,Open ground,17FGS18177-001,0.3865432,5,fadd51d1-558b-472c-a4fb-ced1bf377452
69,Scotland,104000000026343,Balmedie Farm,103000000017153,Forest Carbon Group 8,Validated,Open ground,18FGS31938- 002,1.11633327,5,4e037b62-1a88-41d2-9b5b-8f0722ddb7bf
70,England,104000000026349,Blackwater & Hyde,103000000017153,Forest Carbon Group 8,Validated,Open ground,CS 635864,2.51935622,5,dd194496-f3c0-4dc7-9cfb-f259ceb94bf9
71,Scotland,104000000026336,Meigle Farm,103000000017153,Forest Carbon Group 8,Validated,Mixed predominantly conifer (50-80%),16FGS12599-001,12.32716739,5,0a97d724-f21f-4d7a-bc37-723b5a664160
72,Scotland,104000000014512,Crookston,103000000006746,Forest Carbon Group 7,Validated,Open ground,16FGS06094,2.03791025,5,142b144e-8186-4447-9a39-bf45a02e74c0
73,Wales,104000000013207,Ysgwyddgwyn,103000000006745,GrwpCoed.Cymru 1,Validated,Mixed predominantly conifer (50-80%),P0000030 and P0000071,8.04770532,5,f2d18be8-c052-4102-a4a7-ae941fac2315
74,Wales,104000000013207,Ysgwyddgwyn,"103000000006745
103000000006745
",GrwpCoed.Cymru 1,Validated,Broadleaved (>80%),P0000030 and P0000071,10.76143875,5,4037f875-fb55-44ff-9304-2fe62564fb30
75,Scotland,"104000000014894
104000000014894",Rig of Airie,n/a,n/a,Verified,Existing woodland,15FGS03174,9.48381043,5,2daf010a-95a3-4257-8173-36357a877005
76,Scotland,104000000026344,Scalpay 2,103000000017153,Forest Carbon Group 8,Validated,Broadleaved (>80%),17FGS18097-001,52.10215703,5,39e01866-3e2c-414c-8ac2-fad47f67d654
77,Scotland,103000000004406,Scalpay West & Scalpay 2,n/a,Forest Carbon Group 6 and 8,Verified,Open ground,SRDP 3890415,154.19617152,5,ce22e35a-8614-44ae-a2d9-216e24c44f77
78,Scotland,103000000004406,Scalpay West,n/a,Forest Carbon Group 6,Verified,Broadleaved (>80%),SRDP 3890415,108.51805381,5,5cdebf39-c066-4472-beda-2a6b7b40c4ea
79,Scotland,103000000004406,Scalpay West,n/a,Forest Carbon Group 6,Verified,Natural regeneration,SRDP 3890415,1.04514413,5,8640c12a-011e-4b77-97e3-311f943154fd
80,England,104000000026376,Emilies Wood, , ,Validated,Broadleaved (>80%),CS464281,2.34979696,5,d97759e2-cc4f-4481-a475-849c238d52bb
81,Scotland,103000000004609,Abernethy,103000000000757,Scottish Forest Alliance,Validated,Open ground,No Grant,1457.88812817,5,002b8b58-f1a6-40a4-b438-ba48f4bc894c
82,Scotland,103000000004609,Abernethy,103000000000757,Scottish Forest Alliance,Validated,Broadleaved (>80%),No Grant,76.80068368,5,1466f320-acec-4369-9aa6-cb75ad522683
83,Scotland,103000000004609,Abernethy,103000000000757,Scottish Forest Alliance,Validated,Existing woodland,No Grant,599.61325369,5,762d9e44-fd8a-4afc-9fcb-18291dfdcb9d
84,Scotland,103000000004613,Glen Quey,103000000000757,Scottish Forest Alliance,Validated,Broadleaved (>80%),No Grant,281.32737887,5,b49f2efb-5a31-4bc8-b20b-c3f7a39f1b79
85,Scotland,103000000004613,Glen Quey,103000000000757,Scottish Forest Alliance,Validated,Broadleaved (>80%),No Grant,101.56836971,5,ef476e94-1622-4552-8e8a-c7f33d2cbdc1
86,Scotland,103000000004610,Geordie's Wood,103000000000757,Scottish Forest Alliance,Validated,Broadleaved (>80%),No Grant,123.84398638,5,2223c4dc-b48e-45d2-9932-2ea13b880cdb
87,Scotland,103000000004610,Geordie's Wood,103000000000757,Scottish Forest Alliance,Validated,Existing woodland,No Grant,21.28634552,5,ec227343-a67e-4ff8-b1b4-e0c1eaddb131
88,Scotland,103000000004610,Geordie's Wood,103000000000757,Scottish Forest Alliance,Validated,Open ground,No Grant,99.63409484,5,67b9bab1-0e64-4f0d-a087-1fe990c24bdf
89,Scotland,103000000004610,Glen Finglas,103000000000757,Scottish Forest Alliance,Validated,Existing woodland,No Grant,0.78773182,5,d757b798-0cec-4f66-86d2-f24530edf71d
90,Scotland,103000000004610,Glen Finglas,103000000000757,Scottish Forest Alliance,Validated,Broadleaved (>80%),No Grant,130.24427105,5,ad3ae654-fa37-4968-9d00-b1e47a7e8158
91,Scotland,103000000004610,Glen Finglas,103000000000757,Scottish Forest Alliance,Validated,Natural regeneration,No Grant,28.76627058,5,b48d6bee-4a1a-42eb-825f-86d057b7a0f7
92,Scotland,103000000004610,Glen Finglas,103000000000757,Scottish Forest Alliance,Validated,Open ground,No Grant,75.24968697,5,ccf816e6-9248-462d-860d-8d67054c2125
93,Scotland,104000000016117,Glenorchy Farm,n/a,n/a,Validated,Broadleaved (>80%),19FGS36378-001,29.90114271,5,ee42f8b9-6eda-48bc-bd18-2096203ff838
94,Scotland,104000000016117,Glenorchy Farm,n/a,n/a,Validated,Open ground,19FGS36378-001,2.83608565,5,0b83a762-6e3b-4e5d-972c-d5b09c07edcd
95,Scotland,104000000016117,Glenorchy Farm,n/a,n/a,Validated,Existing woodland,19FGS36378-001,0.11244796,5,02d0264c-3dd8-49b0-9845-94509c31c3ba
96,Scotland,104000000026497,Malagie,n/a,n/a,Validated,Conifer (>80%),19FGS36899,30.96852365,5,058b4060-2005-4f9f-916e-b6db8db9fcb9
97,Scotland,104000000026497,Malagie,n/a,n/a,Validated,Open ground,19FGS36899,3.13191368,5,61a6efa3-6efa-47c3-87ee-1d2970ba5843
98,Scotland,104000000026502,Garrogie,n/a,n/a,Validated,Broadleaved (>80%),17FGS14057,32.88780389,5,79aa8f89-e1c3-4049-82dc-d3b51551db36
99,Scotland,104000000026502,Garrogie,n/a,n/a,Validated,Conifer (>80%),17FGS14057,3.50896172,5,9ec70970-e0ea-4937-80b2-5229671fd76a
100,Scotland,104000000026502,Garrogie,n/a,n/a,Validated,Open ground,17FGS14057,8.84001475,5,2d764504-fba8-4393-9927-ae27228135f2
101,Scotland,104000000026483,Bennan Hill,n/a,n/a,Validated,Conifer (>80%),17FGS23457-001,22.57063105,5,587508df-6742-4ce4-a1ec-3e4a44e24d75
102,Scotland,104000000026483,Bennan Hill,n/a,n/a,Validated,Conifer (>80%),17FGS23457-001,1.7770086,5,016137ef-e0ad-474b-9f63-f38a8d942bf6
103,Scotland,104000000026483,Bennan Hill,n/a,n/a,Validated,Conifer (>80%),17FGS23457-001,2.43243869,5,b2793598-d9f9-4729-82fb-4dad58312e3e
104,Scotland,104000000026483,Bennan Hill,n/a,n/a,Validated,Broadleaved (>80%),17FGS23457-001,4.67811316,5,1bdc6be7-1260-434d-aa3e-3b8ef7fd80ce
105,Scotland,104000000026483,Bennan Hill,n/a,n/a,Validated,Conifer (>80%),17FGS23457-001,8.29469545,5,6642809d-010b-456b-a4d6-0c800eb288a5
106,Scotland,104000000026483,Bennan Hill,n/a,n/a,Validated,Conifer (>80%),17FGS23457-001,10.73522386,5,2acc4391-2874-4e35-a865-0a357dec53ec
107,Scotland,104000000026483,Bennan Hill,n/a,n/a,Validated,Conifer (>80%),17FGS23457-001,2.26071813,5,11fd386a-fad0-4d99-ae58-5c83cce5b171
108,Scotland,104000000026483,Bennan Hill,n/a,n/a,Validated,Open ground,17FGS23457-001,8.27793829,5,f046bfeb-d174-4adb-8fab-35c08895a952
109,Scotland,104000000026483,Bennan Hill,n/a,n/a,Validated,Existing woodland,17FGS23457-001,9.19701839,5,4a4400bd-35f8-433a-9374-405442e38b2d
110,Scotland,104000000026474,Dykefoot Farm South,n/a,n/a,Validated,Conifer (>80%),17FGS24177-003,38.83307482,5,cc491247-5b78-4b1e-b4f2-25a68653045a
111,Scotland,104000000026474,Dykefoot Farm South,n/a,n/a,Validated,Broadleaved (>80%),17FGS24177-003,6.08862896,5,c3a23e05-5391-4fd0-8e6a-b27a3e95da0f
112,Scotland,104000000026474,Dykefoot Farm South,n/a,n/a,Validated,Broadleaved (>80%),17FGS24177-003,5.20057231,5,3208c00c-927e-4d82-9d1b-4580bf7a736e
113,Scotland,104000000026474,Dykefoot Farm South,n/a,n/a,Validated,Broadleaved (>80%),17FGS24177-003,3.81430042,5,e6faa965-8e3e-4864-8552-b584e685cad2
114,Scotland,104000000026431,Blackford Farms,n/a,n/a,Validated,Conifer (>80%),16FGS11345-001 & 17FGS14478-001 & 17FGS14383-001,8.55566801,5,a26016e1-7167-4a00-b2e6-82bdbd92f2f0
115,Scotland,104000000026431,Blackford Farms,n/a,n/a,Validated,Broadleaved (>80%),16FGS11345-001 & 17FGS14478-001 & 17FGS14383-001,0.85519732,5,309dff68-72de-4dae-aaeb-e40b35e68f22
116,Scotland,104000000026431,Blackford Farms,n/a,n/a,Validated,Conifer (>80%),16FGS11345-001 & 17FGS14478-001 & 17FGS14383-001,0.55358607,5,3919ed22-2291-4d7f-87b0-1f871d7165e4
117,Scotland,104000000026431,Blackford Farms,n/a,n/a,Validated,Conifer (>80%),16FGS11345-001 & 17FGS14478-001 & 17FGS14383-001,1.00314815,5,b463e0a3-20b9-47bd-bb4d-bf3520a9a9dc
118,Scotland,104000000026431,Blackford Farms,n/a,n/a,Validated,Open ground,16FGS11345-001 & 17FGS14478-001 & 17FGS14383-001,1.39797106,5,e87db2ae-65d5-422a-9c42-4da515469746
119,Scotland,103000000004418,Alladale Phase II,n/a,n/a,Verified,Mixed predominantly conifer (50-80%),SRDP 3785252,178.40088362,1,9da84be2-7d3f-4634-a208-7948260606c2
120,Scotland,103000000010207,Spott Wood,n/a,n/a,Verified,Mixed predominantly broadleaved (50-80%),RDC_RP/4419342/111/0061/4714747/S/002,152.52530768,1,fc55cdca-a737-4c30-86cf-70d2bedb5850
121,England,103000000008782,Benson Wood,n/a,n/a,Verified,Broadleaved (>80%),No Grant,0.43619518,1,9c013eb0-cfc4-4490-80d3-846e0c9e48e2
122,Scotland,103000000004436,Broxburn Community Woodland Phase 4,n/a,n/a,Verified,Mixed predominantly broadleaved (50-80%),SRDP 3871035,16.89529255,1,a09ab292-feb5-401f-8996-d4ebe2758642
123,Scotland,103000000004595,Auchenhessnane,103000000000748,Buccleuch Estates (G0001),Verified,Broadleaved (>80%),SRDP 0349 00817,3.59575564,1,551daf30-4dda-4e13-9781-c8f0c10e7278
124,Scotland,103000000004592,Burnmouth,103000000000748,Buccleuch Estates (G0001),Verified,Conifer (>80%),SRDP 16173,16.93557256,1,340c990d-205f-43f2-9491-00c4ece855f5
125,Scotland,103000000004479,Coshogle 1,103000000000748,Buccleuch Estates (G0001),Verified,Broadleaved (>80%),SRDP 16208,20.93131198,1,8dcdfd76-2378-45af-9ac5-2a276ee6afc6
126,Scotland,103000000004481,Crairieknowe,103000000000748,Buccleuch Estates (G0001),Verified,Conifer (>80%),SRDP 3790810,50.06533409,1,c37d47ce-4e28-4c16-9350-2d1eb76a6ca6
127,Scotland,103000000004483,Gallows Knowe,103000000000748,Buccleuch Estates (G0001),Verified,Conifer (>80%),SRDP 16172,14.37103649,1,14612d09-63fb-4bc9-bfd3-73b98eb775de
128,Scotland,103000000004486,Riverbank,103000000000748,Buccleuch Estates (G0001),Verified,Broadleaved (>80%),SRDP 0340 00815,4.38788323,1,2962aca4-dd13-41a8-a203-49afa12075c4
129,Wales,103000000004447,Cwm Fagor,n/a,n/a,Verified,Mixed predominantly broadleaved (50-80%),BWW 18694,33.15203122,1,2ad2700a-f3fb-4dbe-b051-101aa11eea62
130,England,103000000004495,The Kill,103000000000749,Forest of Marston Vale (G0003),Verified,Broadleaved (>80%),EWGS 2866,4.84095356,1,5aa8fc95-bd23-4011-9f7e-9bb4726f5561
131,England,103000000004497,Rectory Wood,103000000000749,Forest of Marston Vale (G0003),Verified,Broadleaved (>80%),"EWGS 15912, WGS 017004582",57.61968243,1,91ec1ab4-a453-4f88-a65a-02c611903ffe
132,England,103000000004501,Button's Ramsey,103000000000749,Forest of Marston Vale (G0003),Verified,Broadleaved (>80%),WGS 017004581,8.01772779,1,5ef1bb28-acac-4f67-b6ce-ca682c2be2a5
133,England,103000000004499,Conquest Wood,103000000000749,Forest of Marston Vale (G0003),Verified,Broadleaved (>80%),WGS 017004579,7.76817754,1,1d1cc6c6-ba2f-44b8-b755-429868cf9fe1
134,England,103000000004500,Folly Wood,103000000000749,Forest of Marston Vale (G0003),Verified,Broadleaved (>80%),EWGS 20657,12.46218428,1,1af854e2-04a6-4dba-8a60-db406f83875c
135,England,103000000004498,Granary Wood,103000000000749,Forest of Marston Vale (G0003),Verified,Broadleaved (>80%),EWGS 20667,3.12143683,1,229ed3d0-741d-461e-9715-b376ae9d8111
136,England,103000000004496,Ridgeway Wood,103000000000749,Forest of Marston Vale (G0003),Verified,Broadleaved (>80%),WGS 017004579,10.48325168,1,907eca1c-f416-464b-889b-c96cc86e1482
137,England,103000000006786,Grange Estate,103000000000749,Forest of Marston Vale (G0003),Verified,Broadleaved (>80%),EWGS 2874,5.00056492,1,7f836fd3-a2d5-4ec4-8b86-7945e762ac49
138,England,103000000004414,Higham Estate,n/a,n/a,Verified,Broadleaved (>80%),EWGS 15285,8.5145671,1,6fef773f-5cc9-4deb-aabe-7d9203b83ec2
139,Wales,103000000004386,Iscoed,n/a,n/a,Verified,Broadleaved (>80%),"Glastir 052002175, Glastir 25867",16.5919229,1,18f5f065-c211-4b24-9121-7b5e929fb59d
140,Scotland,103000000007679,Loch Duagrich,n/a,n/a,Verified,Mixed predominantly conifer (50-80%),RDC_RP/5232028/458/0020/5232028/S/003,386.69512919,1,9a9c1f7e-1f61-4c18-be44-c8dd7070f43c
141,England,103000000004407,Moorside Wood,n/a,n/a,Verified,Broadleaved (>80%),"EWGS 17363, EWGS 19456",22.06969513,1,4e2885de-7325-49f5-9ca9-4ad4544081db
142,Scotland,103000000004433,Parkhead Community Woodland,n/a,n/a,Verified,Broadleaved (>80%),SRDP 4890391,21.14260057,1,dc255c33-1164-4a11-8443-b49f1cc55978
143,England,103000000004505,Upton Court Park,n/a,n/a,Verified,Broadleaved (>80%),EWGS 30165,7.29664675,1,418c1e35-f523-4fc2-8234-b4571281caf2
144,England,103000000004430,Yoxall,n/a,n/a,Verified,Broadleaved (>80%),EWGS 23933,15.72850479,1,a0ecb30e-66e1-4f67-b6aa-81931f90048f
145,Scotland,103000000004408,Topps Wood,n/a,n/a,Verified,Mixed predominantly broadleaved (50-80%),SRDP 4158347,23.03375327,1,26d11c56-fb8c-45ef-8b2a-00de4b1a049d
146,Scotland,103000000004419,Ardochy,n/a,n/a,Verified,Mixed predominantly broadleaved (50-80%),SRDP 3854252,323.2664703,1,ee446aaf-556d-453e-a02b-29692b61aced
147,Scotland,103000000004420,Barr Farm,n/a,n/a,Verified,Broadleaved (>80%),SRDP 43353388,14.38040996,1,4c53e70d-de66-49f3-a394-59d3e2512fb2
148,Scotland,103000000004420,Barr Farm,n/a,n/a,Verified,Conifer (>80%),SRDP 43353388,13.45067818,1,7084d883-524b-4aa7-b8cd-e38e822f0b7a
149,Scotland,103000000004417,Cairns Farm,n/a,n/a,Verified,Mixed predominantly broadleaved (50-80%),SRDP 4158347,6.65321939,1,6733f288-4e92-44a9-b326-bdeff8d09fe3
150,Scotland,103000000004439,Corehead,n/a,n/a,Verified,Broadleaved (>80%),SRDP 4125784,196.35040162,1,328cce35-0764-43f1-9ce7-92d9661483b3
